Name;Sex;PeoplesCount;Origin
Cualli;Male;77;Nahuatl
Cuanaic;Male;0;Irish
Cuartio;Male;3;Spanish
Cuarto;Male;19000;Spanish
Cuauhtemoc;Male;13000;Nahuatl
Cuchulain;Male;37;Celtic
Cuchulain;Male;37;Celtic
Cuetlachtli;Male;19;Nahuatl
Cuetzpalli;Male;1;Nahuatl
Cuicatl;Female;31;Nahuatl
Cuilean;Male;11;Gaelic
Cuini;Female;51;Gaelic
Cuinn;Male;118;Irish
Cuinn;Male;118;Celtic
Cuinn;Male;118;Gaelic
Cuixtli;Male;0;Nahuatl
Culain;Male;18;Celtic
Culain;Male;18;Celtic
Culann;Male;34;Celtic
Culbart;Male;2;English
Culbert;Male;2000;English
Culhwch;Male;9;Arthurian
Culhwch;Male;9;Arthurian Legend
Culhwch;Male;9;Celtic
Cullan;Male;559;Irish
Cullan;Male;559;Gaelic
Cullen;Male;82000;Celtic
Cullen;Male;82000;Irish
Culley;Male;4000;Unknown
Culley;Male;4000;Gaelic
Cullin;Male;804;Irish
Cullo;Male;213;Irish
Culloden;Male;614;Scottish
Cullodena;Female;0;Scottish
Cullodina;Female;0;Scottish
Culum;Male;878;Irish (gealic)
Culver;Male;33000;English
Culzean;Female;70;Scottish
Cumania;Female;3;Irish
Cumhea;Male;0;Irish
Cumin;Male;626;Scottish
Cumina;Female;12;Scottish
Cumming;Male;19000;Scottish
Cundrie;Female;4;Arthurian Legend
Cundry;Female;1;Arthurian
Cundry;Female;1;Arthurian Legend
Cunningham;Male;100000;Scottish
Cuong;Male;41000;Vietnamese
Cupere;Male;37;English
Curcio;Male;6000;French
Curcio;Male;6000;Spanish
Curran;Male;30000;Gaelic
Curran;Male;30000;Irish
Currito;Male;422;Spanish
Curro;Male;5000;Spanish
Curt;Male;32000;English
Curt;Male;32000;French
Curtice;Male;845;French
Curtis;Male;156000;French
Curtis;Male;156000;English
Curtiss;Male;9000;English
Curtiss;Male;9000;French
Cus;Male;4000;Arthurian Legend
Custennin;Male;0;Arthurian
Custennin;Male;0;Celtic
Custennin;Male;0;Celtic
Cuthbeorht;Male;1;English
Cuthbert;Male;9000;Anglo
Cuthbert;Male;9000;English
Cutler;Male;21000;English
Cuuladh;Male;2;Irish
Cuyler;Male;0;Irish
Cwen;Female;99;Anglo
Cwen;Female;99;Anglo-Saxon
Cwen;Female;99;English
Cwene;Female;1;Anglo-Saxon
Cwentun;Male;0;English
Cy;Male;152000;English
Cybele;Female;1000;Greek
Cycnus;Male;19;Greek
Cydnee;Female;513;English
Cydney;Female;3000;English
Cym;Female;2000;English
Cyma;Female;1000;Greek
Cymbeline;Male;240;Arthurian
Cymbelline;Male;14;English
Cymberly;Female;26;English
Cynara;Female;1000;Greek
Cynburleigh;Female;1;English
Cyndee;Female;2000;English
Cyndi;Female;22000;English
Cyndy;Female;6000;English
Cyne;Female;167;English
Cyneburhleah;Female;2;English
Cynegils;Male;0;Anglo
Cyneheard;Male;0;Anglo
Cyneleah;Male;0;English
Cyneley;Male;0;English
Cyneric;Male;18;English
Cynerik;Male;0;English
Cynewulf;Male;7;Anglo
Cynfarch;Male;27;Arthurian
Cynhard;Male;2;English
Cyning;Male;15;English
Cynn;Male;789;Anglo
Cynric;Male;79;Anglo
Cynric;Male;79;English
Cynrik;Male;5;English
Cynthia;Female;227000;Greek
Cyntia;Female;7000;Spanish
Cynyr;Male;12;Celtic
Cyprian;Male;4000;African
Cyprian;Male;4000;Greek
Cypris;Female;102;Greek
Cyr,;Male;21000;Greek
Cyra;Female;2000;Greek
Cyrano;Male;1000;French
Cyrano;Male;1000;Greek
Cyrena;Female;498;Greek
Cyrene;Female;1000;Greek
Cyril;Male;58000;English
Cyrill;Male;3000;English
Cyrilla;Female;389;English
Cyrilla;Female;389;Greek
Cyris;Male;321;Unknown
Cyrus;Male;87000;Greek
Cyst;Female;183;Anglo
Cyst;Female;183;Anglo-Saxon
Cyst;Male;183;Anglo
Cythera;Female;63;Greek
Cytherea;Female;129;Greek
Czigany;Female;166;Hungarian
Dabbous;Male;745;Arabian
Dabi;Male;3000;Hebrew
Dabir;Male;955;African
Dabir;Male;955;Arabic
Dac Kien;Male;6;Vietnamese
Dace;Male;6000;English
Dace;Male;6000;French
Dacey;Male;3000;English
Dacey;Male;3000;French
Dacia;Female;7000;Latin
Dacian;Male;877;English
Dacian;Male;877;French
Dacio;Male;940;Spanish
Dack;Male;3000;English
Dada;Female;41000;African
Dae;Female;29000;Indian
Daedalus;Male;2000;Greek
Daedbot;Female;1;Anglo
Daedbot;Female;1;Anglo-Saxon
Daeg;Male;158;Irish
Daegal;Male;60;Anglo
Daegal;Male;60;Anglo-Saxon
Daegan;Male;239;Irish
Dael;Female;2000;English
Dael;Male;2000;English
Daelan;Male;84;English
Daelyn;Female;313;English
Daelynn;Female;164;Unknown
Daemon;Male;5000;Greek
Daena;Female;1000;English
Daesgesage;Female;0;English
Daeva;Female;446;Indian
Daffodil;Female;7000;Greek
Dafydd;Male;2000;Wales
Dagan;Male;4000;Hebrew
Daganya;Female;2;Hebrew
Daganyah;Female;0;Hebrew
Dagen;Male;2000;Irish
Daghda;Female;14;Celtic
Dagian;Female;45;English
Dagmar;Female;15000;German
Dagmar;Female;15000;Danish
Dagoberto;Male;5000;German
Dagomar;Female;66;German
Dagonet;Male;95;Arthurian Legend
Daguenet;Male;114;Arthurian
Daguenet;Male;114;Arthurian Legend
Dagwood;Male;282;English
Dahab;Female;4000;Arabic
Dahlia;Female;16000;Scandinavian
Dahr;Male;443;Arabian
Dahwar;Male;1;Arabian
Dahy;Male;947;Irish
Dai;Female;98000;Japanese
Dai;Male;98000;Japanese
Daiana;Female;38000;Dominican Republic
Daibheid;Male;49;Irish
Daibhidh;Male;38;Gaelic
Daijon;Male;164;American
Daileass;Male;0;Scottish
Dailyn;Female;844;Unknown
Daimh;Male;26;Scottish
Daimhin;Male;35;Irish
Daimmen;Male;1;French
Dain;Male;7000;English
Daina;Female;7000;English
Dainan;Male;77;Australian
Daine;Male;3000;French
Daine;Male;3000;English
Daire;Male;10000;Irish
Dairion;Male;25;Unknown
Daisey;Female;2000;English
Daishya;Male;3;Unknown
Daisi;Female;812;French
Daisi;Female;812;English
Daisie;Female;831;English
Daisy;Female;126000;Anglo
Daisy;Female;126000;English
Daisy;Female;126000;English
Daisy;Female;126000;Anglo-Saxon
Daithi;Male;977;Irish
Daivini;Female;0;Unknown
Daizy;Female;2000;English
Dakarai;Male;393;Egyptian
Dakini;Female;587;Indian
Dakota;Male;323000;Native American
Dakotah;Male;2000;Native American
Dakshina;Female;8000;Indian
Dal;Male;157000;Irish
Dalal;Female;23000;Arabic
Dalan;Male;5000;Irish
Dalbert;Male;461;English
Dale;Female;261000;English
Dale;Male;261000;English
Dale;Female;261000;English
Daleel;Male;1000;Arabian
Dalen;Male;7000;English
Dalena;Female;2000;English
Dalene;Female;2000;English
Dalenna;Female;116;English
Daley;Male;29000;English
Dalia;Female;42000;Arabic
Daliah;Female;696;Hebrew
Dalila;Female;21000;Spanish
Dalila;Female;21000;Hebrew
Dalila;Female;21000;Egyptian
Dalila;Female;21000;African
Dalis;Female;2000;Hebrew
Dalit;Female;2000;Hebrew
Daliyah;Female;111;Hebrew
Dall;Male;14000;Gaelic
Dallan;Male;1000;Irish
Dallas;Male;1000000;Celtic
Dallas;Female;1000000;Scottish
Dallas;Male;1000000;Scottish
Dallen;Male;1000;Irish
Dallin;Male;2000;Irish
Dallis;Female;994;Scottish
Dallon;Male;779;Irish
Dalmar;Male;764;African
Dalon;Male;560;Irish
Dalston;Male;1000;Anglo
Dalston;Male;1000;Anglo-Saxon
Dalton;Male;116000;English
Daly;Male;62000;Gaelic
Daly;Female;62000;English
Dalyell;Male;24;Scottish
Dalyn;Male;841;English
Dalynn;Female;324;Unknown
Dalziel;Male;3000;Scottish
Daman;Male;9000;Celtic
Daman;Male;9000;Irish
Damani;Male;4000;Unknown
Damara;Female;4000;Greek
Damario;Male;874;Spanish
Damaris;Female;29000;Greek
Damaris;Male;29000;Greek
Damaskenos;Male;44;Greek
Damayanti;Female;18000;Indian
Damek;Male;279;Slavic
Damek;Male;279;Czechoslovakian
Dameon;Male;2000;Unknown
Damerae;Male;2;Jamaican
Damh;Male;87;Scottish
Damhnait;Female;88;Irish
Damia;Female;4000;Greek
Damia;Female;4000;French
Damian;Male;134000;Greek
Damian;Male;134000;Spanish
Damiana;Female;3000;French
Damiane;Female;326;French
Damiean;Male;76;English
Damien;Female;72000;French
Damien;Male;72000;French
Damis;Male;1000;Arabian
Damita;Female;2000;Spanish
Dammar;Male;243;Arabian
Damocles;Male;290;Greek
Damon;Male;63000;Latin
Damon;Male;63000;Irish
Dan;Male;1000000;Romanian
Dan;Male;1000000;Hebrew
Dana;Female;471000;Irish
Dana;Female;471000;Celtic
Dana;Female;471000;Danish
Dana;Female;471000;Romanian
Dana;Female;471000;English
Dana;Female;471000;Scandinavian
Dana;Male;471000;English
Danae;Female;15000;Hebrew
Danae;Female;15000;Greek
Danah;Female;5000;English
Danathon;Male;5;Unknown
Danaus;Male;56;Greek
Danawi;Male;53;Arabian
Dane;Male;57000;Danish
Dane;Male;57000;English
Dane;Male;57000;Hebrew
Danel;Male;5000;Basque
Danel;Male;5000;Hebrew
Danele;Female;170;Basque
Danele;Female;170;Hebrew
Danell;Male;1000;Hebrew
Danelle;Female;5000;English
Danelle;Female;5000;Hebrew
Danetta;Female;330;Hebrew
Danette;Female;6000;English
Danette;Female;6000;Hebrew
Daney;Female;1000;English
Dangelo;Male;10000;Italian
Danh;Male;10000;Vietnamese
Dani;Female;282000;Spanish
Dani;Male;282000;Hebrew
Dania;Female;37000;English
Dania;Female;37000;Hebrew
Daniachew;Male;21;African
Danica;Female;25000;Slavic
Danica;Female;25000;Slavic
Danice;Female;919;English
Daniel;Male;2000000;Hebrew
Daniela;Female;552000;Hebrew
Daniela;Female;552000;Romanian
Daniele;Male;152000;Hebrew
Daniele;Male;152000;Italian
Danielle;Female;369000;Hebrew
Daniel-Sean;Male;134;Unknown
Danika;Female;8000;Unknown
Danil;Male;185000;Hebrew
Danila;Female;59000;Hebrew
Danila;Male;59000;Hebrew
Danilo;Male;111000;Spanish
Danise;Female;1000;English
Danit;Female;1000;Hebrew
Danita;Female;8000;English
Danita;Female;8000;Hebrew
Danita;Female;8000;Spanish
Danithy;Female;2;Unknown
Danitza;Female;4000;English
Danja;Female;1000;Unknown
Dann;Male;22000;Hebrew
Danna;Female;32000;English
Dannah;Female;1000;English
Dannalee;Female;22;English
Dannee;Female;168;English
Dannell;Female;236;English
Dannelle;Female;309;English
Danni;Female;26000;English
Dannia;Female;994;English
Dannie;Male;8000;Hebrew
Danno;Male;2000;Japanese
Dannon;Female;3000;English
Danny;Male;360000;Hebrew
Danon;Male;3000;English
Danrelle;Female;9;English
Danso;Male;4000;African
Dantae;Male;182;Spanish
Dante;Male;103000;Spanish
Dante;Male;103000;Italian
Dantel;Male;1000;Spanish
Dantina;Female;32;English
Danton;Male;3000;French
D'anton;Male;322;French
Dantrell;Male;136;Hebrew
Danu;Female;17000;Indian
Dany;Female;98000;English
Danya;Female;44000;English
Danya;Female;44000;Hebrew
Danylynn;Female;5;English
Dao;Female;39000;Vietnamese
Dao;Male;39000;Vietnamese
Daoud;Male;11000;Arabian
Daphna;Female;1000;Hebrew
Daphnah;Female;2;Hebrew
Daphne;Female;48000;Greek
Daphne;Female;48000;Hebrew
Daphnis;Male;263;Greek
Dar;Male;177000;Hebrew
Dara;Female;53000;Hebrew
Darach;Male;266;Scottish
Daracha;Female;17;Scottish
Darah;Female;3000;Hebrew
Dar-Al-Baida;Male;7;Arabian
Daran;Male;2000;English
Darby;Male;38000;Irish
Darby;Male;38000;Gaelic
Darby;Male;38000;English
Darcel;Female;2000;French
Darcel;Female;2000;Irish
Darcel;Male;2000;French
Darcell;Female;354;French
Darcell;Female;354;Irish
Darcell;Male;354;French
Darcelle;Female;245;French
Darcelle;Female;245;Irish
Darcey;Female;4000;French
Darcey;Female;4000;Irish
Darchelle;Female;138;French
Darchelle;Female;138;Irish
Darci;Female;7000;French
Darci;Female;7000;Irish
Darcia;Female;676;French
Darcia;Female;676;Irish
Darcie;Female;5000;French
Darcie;Female;5000;Irish
Darcio;Male;720;French
Darcy;Male;38000;Celtic
Darcy;Female;38000;Irish
Darcy;Female;38000;French
Darcy;Male;38000;French
Darcy;Female;38000;French
D'arcy;Female;9000;French
D'arcy;Female;9000;Irish
D'arcy;Male;9000;French
D'arcy;Female;9000;French
D'arcy;Male;9000;French
Darda;Female;2000;Hungarian
Dardanus;Male;22;Greek
Dareau;Male;64;French
Dareen;Female;3000;Hebrew
Darek;Male;8000;English
Darek;Male;8000;German
Darel;Female;3000;Anglo
Darel;Female;3000;Anglo-Saxon
Darel;Male;3000;English
Darelene;Female;21;Anglo
Darelene;Female;21;Anglo-Saxon
Darelle;Female;470;Anglo
Darelle;Female;470;Anglo-Saxon
Dar-El-Salam;Male;107;Arabian
Daren;Male;12000;English
Daren;Male;12000;African
Darena;Female;758;American
Darence;Male;77;English
Darerca;Female;13;Irish
Daria;Female;183000;Spanish
Daric;Male;617;Irish
Darice;Female;1000;Hebrew
Darick;Male;681;Irish
Dariel;Male;3000;English
Dariel;Male;3000;French
Dariell;Male;88;English
Dariell;Male;88;French
Darien;Male;17000;Greek
Darin;Male;27000;English
Dario;Male;133000;Spanish
Darissa;Female;213;Hebrew
Darius;Male;41000;Egyptian
Darla;Female;26000;English
Darleane;Female;49;English
Darleen;Female;3000;English
Darleena;Female;50;English
Darlena;Female;1000;English
Darlene;Female;63000;Anglo
Darlene;Female;63000;English
Darlene;Female;63000;Anglo-Saxon
Darlina;Female;509;English
Darline;Female;3000;English
Darline;Female;3000;Anglo
Darline;Female;3000;Anglo-Saxon
Darnall;Male;2000;English
Darneil;Male;27;English
Darnel;Male;1000;English
Darnell;Male;21000;English
Darnell;Male;21000;English
Darnell;Female;21000;English
Darnesha;Female;167;African American
Darnetta;Female;174;English
Darnisha;Female;297;English
Darold;Male;980;English
Darolyn;Female;171;English
Daron;Male;6000;English
Darra;Female;1000;Hebrew
Darragh;Male;7000;Irish
Darrah;Female;3000;Hebrew
Darrance;Male;17;English
Darrel;Male;11000;English
Darrell;Male;50000;English
Darrell;Male;50000;French
Darrellyn;Female;51;English
Darren;Male;158000;Gaelic
Darren;Male;158000;English
Darrence;Male;70;English
Darrick;Male;4000;Irish
Darrill;Female;48;English
Darrin;Male;18000;English
Darrius;Male;3000;Greek
Darroch;Male;1000;Irish
Darrock;Male;53;Irish
Darrold;Male;92;English
Darroll;Male;168;English
Darroll;Male;168;French
Darron;Male;4000;English
Darry;Male;2000;Gaelic
Darry;Male;2000;Irish
Darryl;Male;48000;English
Darryll;Male;1000;English
Darryll;Female;1000;English
Darryn;Male;3000;English
Dartagnan;Male;684;French
Darton;Male;4000;English
Darvell;Male;289;English
Darvell;Male;289;French
Darvin;Male;4000;English
Darwin;Male;89000;English
Darwish;Male;14000;Arabian
Darwishi;Male;63;Egyptian
Darwyn;Male;398;English
Dary;Male;12000;Irish
Daryl;Female;52000;English
Daryl;Male;52000;English
Daryl;Female;52000;English
Daryl;Female;52000;Anglo
Daryl;Female;52000;Anglo-Saxon
Daryle;Male;1000;English
Darylene;Female;58;English
Daryll;Male;3000;English
Daryll;Female;3000;English
Darylyn;Female;51;English
Dassais;Male;0;Arabian
Dassous;Male;1;Arabian
Dat;Male;57000;Vietnamese
Da'ud;Male;108;Arabic
Daudi, Daudy;Male;0;African
Daunte;Male;513;Spanish
Dave;Male;607000;Scottish
Dave;Male;607000;Hebrew
Daveen;Female;222;English
Daveney;Female;39;French
Daveon;Male;371;English
Davet;Male;3000;French
Davey;Male;30000;Hebrew
Davey;Male;30000;Irish
Davi;Female;41000;Hebrew
Davi;Male;41000;Hebrew
Davia;Female;2000;English
Davian;Male;2000;English
Daviana;Female;888;Unknown
Davianna;Female;147;English
David;Male;3000000;Hebrew
Davida;Female;4000;English
Davida;Female;4000;Hebrew
Davide;Male;117000;Italian
Davidson;Male;210000;Scottish
Davidson;Male;210000;English
Davidsone;Male;35;English
Davie;Male;16000;Irish
Daviel;Male;296;English
Davin;Male;11000;Hebrew
Davin;Male;11000;French
Davina;Female;14000;English
Davina;Female;14000;Hebrew
Davinah;Female;60;Hebrew
Davine;Female;872;English
Davinia;Female;3000;English
Davinia;Female;3000;Hebrew
Davion;Male;3000;English
Daviot;Male;123;English
Davis;Male;1000000;English
Davis;Male;1000000;Scottish
Davison;Male;28000;English
Davita;Female;15000;English
Davitah;Female;0;Hebrew
Davite;Female;123;Hebrew
Davonna;Female;337;English
Davy;Female;28000;English
Davy;Male;28000;English
Davynn;Female;14;English
Dawar;Male;3000;Arabian
Dawayne;Male;552;Irish
Dawit;Male;4000;African
Dawn;Female;278000;Anglo
Dawn;Female;278000;Anglo-Saxon
Dawn;Female;278000;English
Dawn;Female;278000;English
Dawna;Female;5000;English
Dawne;Female;3000;English
Dawnelle;Female;285;English
Dawneshia;Female;12;Unknown
Dawnetta;Female;132;English
Dawnette;Female;422;English
Dawnielle;Female;297;English
Dawnika;Female;33;English
Dawson;Male;134000;English
Dawud;Male;2000;Arabic
Dax;Male;12000;French
Daxton;Male;395;English
Dayla;Female;1000;Hebrew
Daylan;Male;2000;English
Dayle;Male;4000;English
Dayle;Female;4000;English
Daylen;Male;745;English
Daylin;Male;1000;English
Daylon;Male;906;English
Dayna;Female;18000;English
Dayne;Female;5000;English
Dayne;Male;5000;English
Dayne;Male;5000;French
Dayner;Male;268;English
Daysha;Female;1000;Unknown
Dayshia;Female;119;Unknown
Daysi;Female;6000;English
Dayson;Male;795;English
Dayton;Male;176000;English
Dayveon;Male;40;Unknown
De;Male;18000000;Vietnamese
Deacon;Male;18000;English
Deagan;Male;247;Unknown
Deaglan;Male;253;Irish
Deagmund;Male;0;English
Deakin;Male;65000;English
Dealbeorht;Male;0;English
Dealbert;Male;79;English
Dean;Male;636000;English
Deana;Female;16000;English
Deanda;Female;3000;English
Deandra;Female;4000;English
Deandrea;Female;2000;English
Deandria;Female;199;English
Deane;Female;16000;English
Deane;Male;16000;English
Deann;Female;8000;English
Deanna;Female;67000;English
Deanne;Male;13000;English
Deanne;Female;13000;English
Dearbhail;Female;156;Irish
Dearborn;Male;42000;English
Dearbourne;Male;6;English
Dearg;Male;150;Scottish
Dearg;Male;150;German
Dearg;Male;150;Celtic
Deasach;Male;1;Gaelic
Deavon;Male;248;English
Debbee;Female;232;Unknown
Debbie;Female;266000;Hebrew
Debby;Female;42000;Hebrew
Debora;Female;109000;Hebrew
Deborah;Female;260000;Hebrew
Debra;Female;135000;Hebrew
Debrah;Female;3000;Hebrew
Debralee;Female;167;Hebrew
Dechtire;Female;1;Arthurian
Dechtire;Female;1;Celtic
Dechtire;Female;1;Celtic
Decla;Female;100;Irish
Declan;Male;21000;Irish
Dedre;Female;205;Irish
Dedric;Male;740;German
Dedrick;Male;3000;English
Dedrick;Male;3000;German
Dedrik;Male;27;German
Dee;Female;226000;English
Deeana;Female;491;English
Deeandra;Female;101;English
Deeann;Female;3000;English
Deeanna;Female;2000;English
Deedra;Female;2000;Irish
Deegan;Male;5000;Irish
Deems;Male;1000;English
Deen;Male;26000;Hebrew
Deena;Female;16000;English
Deerward;Male;4;English
Defena;Female;55;English
Dehaan;Male;4000;Dutch
Deheune;Female;1;Celtic
Deianira;Female;194;Greek
Deidra;Female;6000;Irish
Deidre;Female;12000;Irish
Deiene;Female;105;Spanish
Deikun;Female;293;Spanish
Deina;Female;1000;Spanish
Deiphobus;Male;21;Greek
Deirdra;Female;803;Irish
Deirdre;Female;23000;Gaelic
Deirdre;Female;23000;Celtic
Deja;Female;20000;Uk
Deka;Female;16000;African
Deke;Male;3000;English
Dekel;Male;2000;English
Dekle;Male;558;English
Del;Male;3000000;French
Dela Eden;Female;6;African
Dela Eden;Male;6;African
Dela O Kande;Female;0;African
Delaine;Male;3000;French
Delaine;Male;3000;Irish
Delancy;Male;787;French
Delancy;Male;787;Irish
Delane;Male;2000;French
Delane;Male;2000;Irish
Delaney;Male;48000;French
Delaney;Male;48000;Irish
Delanie;Female;2000;Irish
Delano;Male;14000;French
Delano;Male;14000;Irish
Delano;Male;14000;Gaelic
Delbert;Male;4000;English
Delbin;Female;153;Greek
Delcine;Female;195;Spanish
Delfina;Female;12000;Spanish
Delia;Female;53000;Romanian
Delia;Female;53000;Greek
Delice;Female;11000;English
Delicia;Female;7000;Spanish
Delight;Female;15000;French
Delight;Female;15000;French
Delight;Female;15000;English
Delila;Female;4000;Hebrew
Delilah;Female;11000;Hebrew
Delilah;Female;11000;Hebrew
Delinda;Female;2000;Spanish
Delisa;Female;3000;English
Delisha;Female;821;English
Delissa;Female;331;English
Delit;Female;418;French
Deliza;Female;336;English
Dell;Female;340000;English
Dell;Female;340000;German
Della;Female;296000;German
Della;Female;296000;German
Della;Female;296000;English
Delma;Female;5000;German
Delma;Female;5000;Spanish
Delman;Male;1000;English
Delmar;Male;12000;French
Delmar;Female;12000;Spanish
Delmar;Male;12000;Spanish
Delmara;Female;110;Spanish
Delmare;Female;369;French
Delmer;Male;2000;French
Delmi;Female;882;German
Delmira;Female;492;German
Delmon;Male;1000;English
Delmon;Male;1000;French
Delmont;Male;1000;English
Delmont;Male;1000;French
Delmore;Male;739;French
Delmy;Female;3000;German
Delora;Female;1000;English
Delores;Female;10000;English
Deloris;Female;4000;English
Delphia;Female;2000;Spanish
Delphina;Female;924;Greek
Delphine;Female;29000;French
Delphine;Female;29000;Greek
Delphinus;Male;650;Greek
Delray;Male;18000;French
Delrick;Male;96;French
Delrico;Male;101;French
Delron;Male;172;French
Delroy;Male;2000;French
Delsin;Male;571;Native American
Delta;Female;288000;Greek
Delton;Male;3000;English
Delvin;Male;3000;English
Delvon;Male;397;English
Delyssa;Female;48;English
Deman;Male;6000;Anglo
Deman;Male;6000;Anglo-Saxon
Deman;Male;6000;Dutch
Demarcus;Male;4000;Unknown
Demario;Male;2000;Spanish
Demas;Female;5000;Greek
Demason;Male;13;English
Demasone;Male;0;English
Demelza;Female;1000;English
Demetria;Female;23000;Greek
Demetrius;Male;15000;Greek
Demi;Female;146000;English
Demi;Female;146000;French
Demissie;Male;948;African
Demodocus;Male;1;Greek
Demogorgon;Male;140;Greek
Demophon;Male;4;Greek
Demothi;Male;5;Native American
Dempsey;Male;28000;English
Dempsey;Male;28000;Gaelic
Dempsey;Male;28000;Irish
Dempster;Male;4000;English
Dena;Female;34000;Hebrew
Dena;Female;34000;English
Dena;Female;34000;English
Dena;Female;34000;Native American
Denby;Male;3000;Anglo
Denby;Male;3000;Anglo-Saxon
Dendera;Female;149;Egyptian
Dene;Female;5000;English
Dene;Male;5000;English
Deneen;Female;3000;English
Denelle;Female;726;American
Denia;Female;9000;English
Denica;Female;1000;English
Denice;Female;9000;French
Deniece;Female;2000;French
Denis;Male;900000;French
Denisa;Female;18000;Spanish
Denisc;Male;54;Anglo
Denisc;Male;54;Anglo-Saxon
Denise;Female;239000;French
Denise;Female;239000;French
Denisha;Female;3000;French
Denissa;Female;893;French
Denisse;Female;38000;French
Denley;Male;1000;English
Dennet;Male;212;French
Denney;Male;8000;English
Denni;Female;6000;English
Dennie;Male;4000;English
Dennis;Male;428000;French
Dennis;Male;428000;English
Dennise;Female;6000;French
Dennison;Male;27000;English
Denny;Male;80000;English
Dennys;Male;8000;Puerto Rican
Denton;Male;69000;English
Denver;Male;774000;English
Denver;Male;774000;English
Denver;Male;774000;French
Denys;Male;18000;French
Denyse;Female;4000;French
Denzel;Male;11000;English
Denzell;Male;728;English
Denzil;Male;3000;English
Deoch;Female;16;Celtic
Deoch;Female;16;Celtic
Deogol;Male;3;Anglo
Deogol;Male;3;Anglo-Saxon
Deon;Male;21000;English
Deon;Male;21000;French
Deon?;Female;20000;Unknown
Deona;Female;734;English
Deondra;Female;603;English
Deonna;Female;2000;English
Deonne;Female;641;English
Deoradhain;Male;2;Irish
Deorsa;Male;40;Gaelic
Deortun;Male;1;English
Deorward;Male;0;English
Deorwine;Male;7;English
Derald;Male;404;English
Derebourne;Male;0;English
Dereck;Male;5000;English
Dereck;Male;5000;German
Derek;Male;208000;English
Derek;Male;208000;German
Dereka;Female;620;English
Derell;Male;341;English
Derell;Male;341;French
Derforgal;Female;0;Irish
Derforgala;Female;0;Irish
Derham;Male;2000;Arabian
Derian;Male;2000;Anglo
Derian;Male;2000;Anglo-Saxon
Derica;Female;492;English
Derick;Male;18000;English
Derick;Male;18000;German
Dericka;Female;213;English
Derik;Male;7000;English
Derik;Male;7000;German
Dermod;Male;62;Irish
Dermot;Male;6000;Celtic
Dermot;Male;6000;Irish
Deron;Male;4000;Hebrew
Deron;Male;4000;Hebrew
Derora;Female;22;Hebrew
Derorice;Female;0;Hebrew
Derorit;Female;3;Hebrew
Derrall;Male;74;English
Derrall;Male;74;French
Derrance;Male;14;English
Derrek;Male;2000;English
Derrek;Male;2000;German
Derrell;Male;2000;English
Derrell;Male;2000;French
Derren;Male;884;English
Derrian;Male;297;English
Derrica;Female;257;English
Derrick;Male;81000;English
Derrick;Male;81000;German
Derrik;Male;1000;English
Derrik;Male;1000;German
Derrill;Male;201;English
Derrill;Male;201;French
Derrin;Male;755;English
Derrold;Male;19;English
Derry;Female;28000;Irish
Derry;Male;28000;Irish
Derry;Male;28000;German
Derry;Male;28000;Gaelic
Derry;Male;28000;German
Derryl;Male;564;English
Derval;Female;619;Irish
Dervilia;Female;14;Irish
Dervin;Male;900;English
Dervla;Female;427;Irish
Dervon;Male;59;English
Dervorgilla;Female;1;Irish
Derwan;Male;33;English
Derward;Male;129;English
Derwent;Male;2000;English
Derwin;Male;3000;English
Derwin;Male;3000;English
Derwyn;Male;145;English
Deryck;Male;2000;English
Deryck;Male;2000;German
Deryk;Male;1000;English
Deryk;Male;1000;German
Des;Male;1000000;English
Desanka;Female;402;Australian
Desarae;Female;802;French
Desaree;Female;328;French
Deshawn;Male;6000;Unknown
Desideria;Female;568;Spanish
Desideria;Female;568;French
Desiderio;Male;6000;Spanish
Desilyn;Female;25;Unknown
Desirae;Female;7000;French
Desirat;Female;60;French
Desire;Female;28000;French
Desire;Male;28000;French
Desire;Female;28000;English
Desiree;Female;80000;French
Desiree;Female;80000;French
Desirey;Female;191;Unknown
Desma;Female;3000;Greek
Desmona;Female;68;Greek
Desmond;Male;45000;Celtic
Desmond;Male;45000;Irish
Desmond;Male;45000;Anglo
Desmond;Male;45000;Anglo-Saxon
Desmond;Male;45000;Gaelic
Desta;Female;7000;African
Desta;Male;7000;African
Destan;Male;12000;French
Destanee;Female;295;English
Destanee;Female;295;French
Destin;Male;24000;French
Destina;Female;4000;Spanish
Destine;Female;2000;English
Destine;Female;2000;French
Destinee;Female;7000;English
Destinee;Female;7000;French
Destini;Female;3000;English
Destini;Female;3000;French
Destinie;Female;1000;English
Destinie;Female;1000;French
Destiny;Female;96000;English
Destiny;Female;96000;French
Deston;Male;327;French
Destrey;Male;71;English
Destrey;Male;71;French
Destrie;Male;82;English
Destrie;Male;82;French
Destry;Male;1000;English
Destry;Male;1000;French
Desyre;Female;152;English
Dete;Female;2000;Swiss
Deucalion;Male;260;Greek
Deunoro;Male;2;Basque
Deutsch;Male;37000;German
Dev;Male;368000;English
Dev;Male;368000;Hindi
Deva;Female;34000;Celtic
Deva;Female;34000;Hindi
Deva;Female;34000;Indian
Devaki;Female;1000;Indian
Devamatar;Female;1;Indian
Devan;Female;17000;English
Devan;Female;17000;French
Devan;Male;17000;English
Devana;Female;789;English
Devana;Female;789;French
Devaney;Female;4000;Irish
Devanie;Female;283;Irish
Devanna;Female;318;English
Devanna;Female;318;French
