Name;Sex;PeoplesCount
Агрифина;Female;7
Агролина;Female;0
Агропина;Female;2
Агропиния;Female;0
Агроппина;Female;2
Агрофена;Female;75
Агрофения;Female;1
Агрофина;Female;8
Агрофиния;Female;2
Агрулина;Female;1
Агруния;Female;0
Агтета;Female;2
Агунда;Female;642
Агуя;Female;2
Агустина;Female;16
Агфия;Female;0
Агха;Female;7
Агэля;Female;0
Агэта;Female;0
Ада;Female;25000
Адаа;Female;39
Адавие;Female;9
Адавият;Female;7
Адавье;Female;2
Адаида;Female;4
Адаиль;Female;0
Адай;Female;3000
Адалаида;Female;19
Адалиада;Female;1
Адалина;Female;378
Адалия;Female;63
Адаль;Female;16
Адальберта;Female;1
Адальмина;Female;11
Адальфина;Female;1
Адаля;Female;9
Адалят;Female;594
Адама;Female;2000
Адамина;Female;89
Адана;Female;143000
Адане;Female;2
Адария;Female;5
Адарья;Female;3
Адасия;Female;0
Адась;Female;54
Адаська;Female;3
Адася;Female;5
Адафия;Female;1
Адая;Female;13
Адвентина;Female;6
Адверка;Female;0
Адвина;Female;7
Адда;Female;78
Адделина;Female;2
Адеалаида;Female;0
Адеалида;Female;1
Адеалина;Female;1
Адебенга;Female;1
Адегбанга;Female;0
Адеелия;Female;4
Адеида;Female;1
Адеина;Female;3
Адей;Female;51
Адейла;Female;1
Адейля;Female;1
Адека;Female;286
Адела;Female;416
Аделада;Female;0
Аделае;Female;1
Аделаида;Female;178000
Аделаижа;Female;2
Аделаина;Female;4
Аделайда;Female;25
Аделанда;Female;1
Аделаыда;Female;0
Аделеида;Female;0
Аделея;Female;1
Адели;Female;241
Аделиада;Female;12
Аделида;Female;10
Аделина;Female;36000
Аделиня;Female;1
Аделия;Female;4000
Аделка;Female;30
Аделла;Female;171
Аделлаида;Female;11
Аделли;Female;2
Аделлинда;Female;3
Аделоида;Female;8
Адель;Female;23000
Адельвина;Female;7
Адельгайда;Female;0
Адельгейда;Female;7
Адельда;Female;3
Адельина;Female;7
Аделька;Female;1000
Адельмина;Female;7
Адельфина;Female;91
Адельфия;Female;15
Адельша;Female;58
Адельши;Female;0
Аделья;Female;359
Аделя;Female;20000
Аделяна;Female;22
Адемина;Female;3
Адемия;Female;32
Адена;Female;215
Аденаида;Female;1
Аденда;Female;2
Аденола;Female;0
Адепя;Female;1
Адерике;Female;0
Адеринсола;Female;0
Адериту;Female;4
Адерми;Female;0
Адерша;Female;2
Адесина;Female;0
Адеслава;Female;0
Адетта;Female;19
Адефтина;Female;2
Адешина;Female;16
Адея;Female;35
Аджана;Female;8
Аджелина;Female;13
Аджика;Female;91
Аджир;Female;5
Аджира;Female;2
Адзип;Female;9
Адиала;Female;2
Адиаланда;Female;0
Адиалида;Female;3
Адиамида;Female;0
Адиба;Female;546
Адибя;Female;3
Адика;Female;124
Адила;Female;249
Адилага;Female;1
Адилаида;Female;5
Адиларида;Female;0
Адилина;Female;38
Адилия;Female;207
Адилуца;Female;0
Адиль;Female;17000
Адилья;Female;23
Адилэ;Female;6
Адиля;Female;5000
Адина;Female;6000
Адинаиза;Female;0
Адинай;Female;896
Адине;Female;8
Адинела;Female;3
Адиня;Female;6
Адиса;Female;589
Адислава;Female;3
Адисса;Female;62
Адитие;Female;0
Адитья;Female;28
Адитя;Female;9
Адиха;Female;0
Адия;Female;2000
Адиятулла;Female;7
Адлена;Female;13
Адлидия;Female;1
Адлифа;Female;0
Адлифе;Female;3
Адлифя;Female;1
Адлиша;Female;2
Адмила;Female;4
Адмия;Female;1
Адна;Female;830
Аднеся;Female;0
Аднишка;Female;0
Адоина;Female;1
Адолаида;Female;0
Адоланда;Female;1
Адолина;Female;85
Адолинна;Female;1
Адолия;Female;12
Адоль;Female;121
Адольджина;Female;1
Адолька;Female;3
Адольфа;Female;252
Адольфена;Female;2
Адольфина;Female;14
Адолья;Female;1
Адоля;Female;61
Адонисия;Female;1
Адонисса;Female;0
Адонна;Female;3
Адоньфина;Female;2
Адоня;Female;7
Адоритта;Female;1
Адотя;Female;0
Адрафия;Female;0
Адрерия;Female;0
Адриада;Female;10
Адриана;Female;5000
Адрианна;Female;261
Адрина;Female;109
Адрине;Female;76
Адринэ;Female;17
Адриэнна;Female;0
Адрияна;Female;96
Адриянна;Female;2
Адула;Female;15
Адыка;Female;6
Адылля;Female;0
Адыль;Female;393
Адыльгейда;Female;0
Адыля;Female;52
Адына;Female;102
Адьдина;Female;1
Адья;Female;11
Адьяа;Female;14
Адэла;Female;12
Адэлина;Female;1000
Адэлия;Female;268
Адэлла;Female;21
Адэль;Female;957
Адэльфина;Female;1
Адэля;Female;1000
Адэнна;Female;0
Адя;Female;243
Аежела;Female;4
Аежелика;Female;14
Аезире;Female;0
Аелита;Female;128
Аель;Female;27
Аеонила;Female;0
Аеонтина;Female;1
Аера;Female;25
Аерие;Female;0
Аесе;Female;3
Аета;Female;6
Ажа;Female;104
Ажабат;Female;0
Ажабика;Female;7
Ажабике;Female;3
Ажайбике;Female;1
Ажай;Female;121
Ажалия;Female;1
Ажам;Female;50
Ажамиля;Female;0
Ажанна;Female;0
Ажаркуль;Female;55
Ажбета;Female;3
Ажела;Female;86
Ажелика;Female;279
Ажелина;Female;13
Ажим;Female;445
Ажий;Female;18
Ажина;Female;37
Ажире;Female;0
Ажиря;Female;0
Ажулия;Female;0
Аза;Female;10000
Азада;Female;451
Азазель;Female;515
Азаида;Female;2
Азалея;Female;2
Азалина;Female;308
Азалия;Female;15000
Азанетта;Female;1
Азантина;Female;0
Азарета;Female;0
Азарина;Female;702
Азарита;Female;1
Азария;Female;133
Азаря;Female;7
Азбина;Female;0
Азвета;Female;0
Азгануш;Female;34
Азгара;Female;3
Азейбертина;Female;0
Азелия;Female;27
Азелла;Female;33
Азель;Female;249
Азельма;Female;3
Азета;Female;10
Азетта;Female;2
Азза;Female;287
Азида;Female;231
Азидра;Female;0
Азие;Female;4
Азиза;Female;21000
Азизат;Female;57
Азизага;Female;59
Азипат;Female;16
Азизгюль;Female;0
Азизе;Female;288
Азизилла;Female;3
Азизолла;Female;0
Азизула;Female;6
Азизюля;Female;2
Азизя;Female;4
Азика;Female;145
Азилия;Female;19
Азиля;Female;186
Азима;Female;985
Азимат;Female;11
Азиме;Female;112
Азина;Female;1000
Азинат;Female;84
Азира;Female;193
Азиса;Female;26
Азита;Female;17
Азифе;Female;4
Азия;Female;382000
Азмела;Female;1
Азмина;Female;29
Азминат;Female;1
Азода;Female;116
Азолия;Female;0
Азольда;Female;13
Азора;Female;28
Азорина;Female;83
Азория;Female;4
Азука;Female;37
Азулла;Female;2
Азя;Female;150
Аиана;Female;10
Аига;Female;7
Аигуль;Female;390
Аида;Female;66000
Аиеса;Female;0
Аиза;Female;504
Аила;Female;30
Аилада;Female;2
Аилина;Female;50
Аилита;Female;26
Аилия;Female;11
Аиляра;Female;0
Аина;Female;3000
Аине;Female;2
Аиниша;Female;3
Аинна;Female;37
