Code;Vetis-GUID;Vetis-UUID;name-ru;name-en
AT;c91b91dc-6dff-49f6-90eb-19824f81b675;aeac6265-cf9e-458a-9a62-e506bb7814af;Пульверизатор;Atomizer
AV;8bcdee71-cca5-4536-ae2e-8a423d7dab60;ab91d666-6070-472b-b1e9-2c233efc9a8b;Капсула;Capsule
B4;62120ab7-da8c-46f5-8d06-8cb3f9376a13;909d39f7-20f2-4af7-8c5a-2a0261c884ac;Лента;Belt
BA;3630beae-fe03-49ff-9264-93925ca7ce80;3481b7ad-7f3b-451b-80c6-b32b14faa5b5;Бочка (емкостью около 164 л);Barrel
BB;41e9ff79-b6c4-46e7-a2d4-6f5bf3ee1002;5e80ee1e-5ce8-4fde-ad0c-b81f0ac91f86;Бобина;Bobbin
BC;fe47d256-3d2b-4460-87e3-349ee65f6ac0;dcdae168-7b0f-4ba0-9495-953e2ceb86c7;Ящик решетчатый для бутылок;Bottlecrate/bottlerack
BD;b8d3ee58-c120-4c4e-bd31-0e1d3451f5de;65064eae-e4fc-401d-9d83-b6acdcac8fb0;Доска;Board
BE;f0b0ec9b-8341-4e95-bc0e-80898be598cb;a7363144-e6a0-4af0-832f-0d403fdeb761;Пакет (пачка/связка);Bundle
BF;49e8e70e-e539-4ce1-8d20-5a49ae276f77;c54dcb58-3197-4400-8ab1-13d4da58bcd4;Баллон, незащищенный;Balloon, non-protected
BG;fedf451c-053c-11e1-99b4-d8d385fbc9e8;8333c895-52bc-46d8-9983-c6ea88a10392;Мешок;Bag
BH;63c5ba04-a314-4d41-9a0f-d328fba0144a;8f22b03a-f3ee-481c-9821-d5f005b66bcd;Пачка (пакет/связка);Bunch
BI;d2ed24d1-c72a-4dc6-b3a8-ff8ca179c5c4;bf8357f5-ba69-4e70-8ec5-4fe6fe72e4c8;Бункер;Bin
BJ;0f4cc0b5-af48-4571-a06b-96504ec89012;22eb54ac-885b-4c6a-a2cb-aedd8150de47;Бадья;Bucket
BK;fedf5cb4-053c-11e1-99b4-d8d385fbc9e8;bca67915-cbd5-4c28-8334-5e965fdf0753;Корзина;Basket
BL;90ae449d-76c3-47a2-a0ec-39febdc0c965;417e2161-637b-4ca2-bc63-f37395e33b0b;Кипа, спрессованная;Bale, compressed
BM;6eb46a7f-f1c0-49fd-b38c-47c8177aa9e1;e88d316c-b516-4d6b-a5b8-ea8981a087cb;Чан;Basin
BN;31ff0ebc-8b93-4ab4-9e6f-04dcab641eb2;69a0a352-2eba-462a-aee7-9be669fa4081;Кипа, неспрессованная;Bale, non-compressed
BO;1b986c7e-dcff-452f-b9c5-bc47afa6ccdc;99f619de-c036-4cc8-be25-8637a2b3a221;Бутылка цилиндрическая незащищенная;Bottle, non-protected, cylindrical
BP;0fdf7f98-6595-480b-8988-5544d8ff40b3;8393e5be-0e6f-4a36-a70d-408a6a9e32a9;Баллон, защищенный;Balloon, protected
BQ;9adfe441-f411-4fcc-9568-8274ec2a0697;c5475a8a-e3f1-4f8c-bfd4-ae4735e72713;Бутылка цилиндрическая защищенная;Bottle, protected cylindrical
BR;0ed01082-9c8e-49fa-8ba4-a91879d4b192;2c56f044-9d6a-496c-b12f-fef8062e5ecc;Брус (брусок);Bar
BS;883a32f4-984e-43c1-8e03-ad02929cbfe4;b5e0456a-1c06-4cf2-a2c6-1c13696a031c;Бутылка с выпуклыми стенками незащищенная;Bottle, non-protected, bulbous
BT;2d523fde-44a2-4c21-891b-4bccdcb1a33e;90c0b093-c941-401f-a6a1-30057af63d14;Рулон (обивочного или настилочного материала);Bolt
BU;c8066a6e-5f19-4429-85e1-9b2df548afa1;411f9741-2161-43e7-9857-0a44b7955847;Бочка для вина или пива;Butt
BV;f7183d0a-5cee-4de8-9d08-bd5c7512ea7c;d273b7da-7db1-4785-87b4-fa9864a742d3;Бутылка с выпуклыми стенками защищенная;Bottle, protected bulbous
BW;77b8f79a-6a69-4b4f-b0b2-a8a9f0f4ca12;20bd4991-6c3a-4f5d-a7f2-fcc61bff3a87;Коробка для жидкостей;Box, for liquids
BX;fedf5ad4-053c-11e1-99b4-d8d385fbc9e8;cc459b06-52e6-4283-be12-585e47f315dd;Коробка;Box
BY;c84cb473-a0cc-4433-8b56-c7beb88fc59b;4f6d1357-a57d-44df-aa0e-d22d6e7daf59;Доска в пакете/пачке/связке;Board, in bundle/bunch/truss
BZ;086a3064-ab16-4d38-a7fa-3a28ee66b58b;3be96376-0920-4eb7-aafa-7632b323153c;Брус (брусок) в пакете/пачке/связке;Bars, in bundle/bunch/truss
CA;0cc66f67-3111-4e77-9dcc-c9a9df725bed;24383fcc-5151-4c54-9342-2dc6194a1a3f;Банка (емкостью менее 5 л) жестяная прямоугольная;Can, rectangular
CB;9e2b9bfb-8f54-4a66-ad38-d650ca479e44;4e948220-a235-41ab-a060-1783b3344ddc;Ящик решетчатый для пива;Crate, beer
CC;34e245a7-cd7c-4d8b-a436-482dcbcf1f38;8eb7fa55-7b61-4880-8100-dc8d907425a3;Бидон;Churn
CD;18a67ab0-21a3-4e8c-9058-d8f42820938d;8a867654-c0cf-473f-b889-e1c56ecff4da;Банка (емкостью менее 5 л) жестяная с ручкой и выпускным отверстием;Can, with handle and spout
CE;e3c233ff-30d4-4ee1-89ac-c19062f1a09d;22df4640-913c-4eda-878c-754fe60ca3fa;Корзина, рыбацкая;Creel
CF;890d2d2d-9ed5-40a5-8d6f-bad8546bfee4;a024cfe7-d8f9-43a0-9819-6686c679f2de;Кофр;Coffer
CG;6da6c216-abc1-4534-825c-821a41b2dbc2;186f1a9c-c1ee-487c-b3a8-0d6baa6b446d;Клеть;Cage
CH;ed6ec9a4-fb93-420a-9e1d-884aa58849c4;a49e179e-cc77-4798-a608-dc21e834178b;Сундук;Chest
CI;91f360ff-5731-4c1c-bf11-7ea3d6d1a3ca;1fafa987-5e45-4d98-9e29-12caea323ea1;Банка жестяная для сухих продуктов (массой до 2,2 кг);Canister
CJ;17f78e53-8978-4b58-9be5-d919c049a239;4aadf738-c12f-4845-94ec-1f6f38df8a89;Гроб;Coffin
CK;fedf412a-053c-11e1-99b4-d8d385fbc9e8;6548a901-8c41-456d-82fd-f4f6808ec473;Бочка;Cask
CL;87cff419-7bd1-4a2a-b52e-3f6c358138c8;9f1dff8f-325c-42f0-a873-22ee33d74763;Бухта;Coil
CM;0f402761-1d53-45dc-9566-d709cd1ccb4d;4f1a8ccd-5e9e-4c75-82e0-e7f5202d0bec;Кардная лента;Card
CN;8f20bf8f-afd5-4e30-9e6b-b664f3973c16;c8589949-7aea-45f0-945b-c7a406c338e0;Контейнер, прочее транспортировочное оборудование, кроме поименованного;Container, not otherwise specified as transport equipment
CO;f8552b0c-1de2-4509-8de9-06284d01bdff;c8182b44-6b47-43ce-bf4e-86e5b538b12a;Бутыль оплетенная незащищенная;Carboy, non-protected
CP;fc881dea-5868-43ea-8b84-768aad44bc39;6e876337-5bd6-4649-ab3b-b44d84c2c3aa;Бутыль оплетенная защищенная;Carboy, protected
CQ;8211a6d5-11ea-4a5e-96dd-b52c3fe0a801;9e14f974-1006-4f9f-bc13-642697090e51;Кассета;Cartridge
CR;e2437340-c529-4655-9774-c61054d429a5;9bbc2877-2c64-47d3-9cd9-2aabd6b5fdfe;Ящик, решетчатый (или обрешетка);Crate
CS;bd8a4719-4595-4e82-a2e6-9ea20afcbf6e;4e002e2a-cb14-4b06-88f6-c017266a7ed3;Ящик;Case
CT;fedf4328-053c-11e1-99b4-d8d385fbc9e8;483400f6-eef8-4d94-bebe-9a6bbc5585e8;Коробка, картонная;Carton
CU;bfbecab2-acff-4791-8f4f-b03d435d00c8;94258f44-6bad-4376-a5b5-c025d99c4885;Чаша;Cup
CV;354aee98-06a3-4780-bc9a-00a57edd8ca7;199655ba-3bf7-4183-817b-a592fda4a2c1;Чехол;Cover
CW;4770cd27-c22b-4da6-bba5-c69dcd601b74;7c83a5f7-6d4f-4130-9f7c-86bc35c26f45;Клеть, роликовая;Cage, roll
CX;54ed0793-c32e-41c1-9321-608c1a224edc;1f61d7f8-e846-4f8e-8a3f-f95aea382539;Банка (емкостью менее 5 л) жестяная цилиндрическая;Can, cylindrical
