Code;Descr
UNKNOWN;Результат неизвестен
UNDEFINED;Результат невозможно определить (не нормируется)
POSITIVE;Положительный результат
NEGATIVE;Отрицательный результат
UNFULFILLED;Не проводилось
VSERAW;ВСЭ подвергнуто сырьё, из которого произведена продукция
VSEFULL;Продукция подвергнута ВСЭ в полном объеме
