
@mainorg       Наименование главной организации
@mainorgaddr   Адрес главной организации
@director      Директор главной организации
@accountant    Главный бухгалтер главной организации

@acc_cash      Счет кассы
@acc_suppl     Счет расчетов с поставщиками
@acc_buyer     Счет расчетов с покупателями
@acc_imprest   Счет расчетов с подотчетными лицами

@curdate       Текущая дата

@period        Период расчета
@cycle         Цикл расчета
@numcycles     Количество циклов



