GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Мелкоштучное мороженое;Морож АВ Матроскин стаканч.вар/сгущ.80г;4605119003698;Россия;Россия;Альтервест;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Аврора персик/мармелад 0.2кг;4607017691182;Россия;Россия;Аврора;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Аврора сгущ/орех 0.2кг;4607017691199;Россия;Россия;Аврора;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Аврора ч.смор/мармелад 0.2кг;4607017691151;Россия;Россия;Аврора;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Мелкоштучное мороженое;Морож Аврора шок.0.2кг;4607017691120;Россия;Россия;Аврора;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Аврора шок/орех 0.2кг;4607017691113;Россия;Россия;Аврора;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано амарена вишневая 1л;4103220005438;Германия;Германия;Адриано;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано амаретто 800мл;4260069261705;Германия;Германия;Адриано;ШТ 1;Литр 1;0.800000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано ваниль 1кг ванна;4260069260661;Бельгия;Бельгия;Адриано;ШТ 1;Кг;1.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано ваниль 800мл;4260069261699;Германия;Германия;Адриано;ШТ 1;Литр 1;0.800000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано виноград 1л ванна;26104522;Бельгия;Бельгия;Адриано;ШТ 1;Кг;1.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано виноград 800мл;4260069261729;Германия;Германия;Адриано;ШТ 1;Литр 1;0.800000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано грецкий орех 1300мл ванна;4007993040095;Германия;Германия;Адриано;ШТ 1;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано каппучино 1л;4260069260722;Германия;Германия;Адриано;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Семейное мороженое;Морож Адриано клубника 1кг ванна;4103220005452;Бельгия;Бельгия;Адриано;ШТ 1;Кг;1.000000;0.000;10.0;0;0.000;0;0;0;0
