TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
è≠ 17.11.2008 - 18:53 	| 446200	| 220400		| 0				| 26299D(0066299D)	| 1000		| 200		| 66A000	| 
è‚ 21.11.2008 - 19:59 	| 446A00	| 220600		| 0				| 2635FD(006635FD)	| 1000		| 200		| 66A000	| 
ë° 22.11.2008 - 17:01 	| 446C00	| 220600		| 0				| 2638AD(006638AD)	| 1000		| 200		| 66A000	| 
è‚ 05.12.2008 - 19:45 	| 44A600	| 221800		| 0				| 2649ED(006649ED)	| 1000		| 200		| 66F000	| 
Ç· 07.12.2008 - 19:27 	| 44A800	| 221800		| 0				| 264AAD(00664AAD)	| 1000		| 200		| 66F000	| 
è≠ 08.12.2008 - 19:32 	| 44AC00	| 221800		| 0				| 264B2D(00664B2D)	| 1000		| 200		| 66F000	| 
ë‡ 10.12.2008 - 18:16 	| 44AE00	| 221800		| 0				| 264BCD(00664BCD)	| 1000		| 200		| 66F000	| 
è‚ 12.12.2008 - 19:37 	| 44B800	| 221C00		| 0				| 2659AD(006659AD)	| 1000		| 200		| 670000	| 
ë° 13.12.2008 - 16:27 	| 44B600	| 221C00		| 0				| 26578D(0066578D)	| 1000		| 200		| 670000	| 
ë‡ 17.12.2008 - 19:50 	| 450600	| 222C00		| 0				| 26596D(0066596D)	| 1000		| 200		| 676000	| 
ó‚ 18.12.2008 - 20:08 	| 450200	| 222E00		| 0				| 265A2D(00665A2D)	| 1000		| 200		| 676000	| 
Ç· 21.12.2008 - 19:36 	| 452400	| 224E00		| 0				| 265D7D(00665D7D)	| 1000		| 200		| 67A000	| 
Ç· 21.12.2008 - 20:15 	| 452400	| 224E00		| 0				| 265D7D(00665D7D)	| 1000		| 200		| 67A000	| 
è≠ 22.12.2008 - 19:53 	| 452800	| 224E00		| 0				| 26616D(0066616D)	| 1000		| 200		| 67A000	| 
Ç‚ 23.12.2008 - 18:52 	| 452A00	| 224E00		| 0				| 26622D(0066622D)	| 1000		| 200		| 67A000	| 
è≠ 05.01.2009 - 15:04 	| 456C00	| 228400		| 0				| 267B8D(00667B8D)	| 1000		| 200		| 681000	| 
è‚ 09.01.2009 - 13:09 	| 459400	| 229C00		| 0				| 267CBD(00667CBD)	| 1000		| 200		| 686000	| 
Ç· 18.01.2009 - 19:11 	| 45AA00	| 22A600		| 0				| 26839D(0066839D)	| 1000		| 200		| 687000	| 
è≠ 19.01.2009 - 19:11 	| 45C400	| 22A600		| 0				| 268B0D(00668B0D)	| 1000		| 200		| 689000	| 
Ç‚ 20.01.2009 - 18:54 	| 45C000	| 22A600		| 0				| 2688CD(006688CD)	| 1000		| 200		| 688000	| 
ó‚ 22.01.2009 - 15:25 	| 45C600	| 22B200		| 0				| 2689AD(006689AD)	| 1000		| 200		| 68A000	| 
ó‚ 22.01.2009 - 17:58 	| 45C600	| 22B200		| 0				| 2689AD(006689AD)	| 1000		| 200		| 68A000	| 
è‚ 23.01.2009 - 20:17 	| 45C600	| 22B200		| 0				| 2689AD(006689AD)	| 1000		| 200		| 68A000	| 
Ç· 25.01.2009 - 20:46 	| 45C800	| 22B800		| 0				| 268A1D(00668A1D)	| 1000		| 200		| 68A000	| 
ë‡ 28.01.2009 - 17:43 	| 45D000	| 22BA00		| 0				| 268CBD(00668CBD)	| 1000		| 200		| 68A000	| 
ó‚ 29.01.2009 - 20:30 	| 45D000	| 22BA00		| 0				| 268CCD(00668CCD)	| 1000		| 200		| 68A000	| 
Ç· 01.02.2009 - 20:00 	| 45D800	| 22BA00		| 0				| 268BDD(00668BDD)	| 1000		| 200		| 68B000	| 
è≠ 02.02.2009 - 12:22 	| 45D800	| 22BA00		| 0				| 268BFD(00668BFD)	| 1000		| 200		| 68B000	| 
Ç· 08.02.2009 - 19:55 	| 45E400	| 22BA00		| 0				| 26931D(0066931D)	| 1000		| 200		| 68C000	| 
è≠ 09.02.2009 - 19:37 	| 45E600	| 22BA00		| 0				| 2692CD(006692CD)	| 1000		| 200		| 68C000	| 
Ç‚ 10.02.2009 - 19:02 	| 45F400	| 22BC00		| 0				| 269D5D(00669D5D)	| 1000		| 200		| 68D000	| 
ó‚ 12.02.2009 - 18:54 	| 462200	| 22E000		| 0				| 269FDD(00669FDD)	| 1000		| 200		| 693000	| 
ë° 14.02.2009 - 21:13 	| 462200	| 22DE00		| 0				| 269F0D(00669F0D)	| 1000		| 200		| 693000	| 
ë‡ 18.02.2009 - 18:20 	| 461600	| 22DE00		| 0				| 268F4D(00668F4D)	| 1000		| 200		| 692000	| 
è≠ 23.02.2009 - 20:07 	| 461E00	| 22E200		| 0				| 26944D(0066944D)	| 1000		| 200		| 692000	| 
Ç‚ 24.02.2009 - 19:43 	| 463A00	| 22E400		| 0				| 26B03D(0066B03D)	| 1000		| 200		| 694000	| 
ë‡ 25.02.2009 - 18:57 	| 464000	| 22E400		| 0				| 26B5DD(0066B5DD)	| 1000		| 200		| 694000	| 
Ç· 01.03.2009 - 20:53 	| 465000	| 22E400		| 0				| 26BF6D(0066BF6D)	| 1000		| 200		| 695000	| 
è≠ 02.03.2009 - 20:00 	| 465600	| 22E200		| 0				| 26C45D(0066C45D)	| 1000		| 200		| 696000	| 
Ç‚ 03.03.2009 - 11:02 	| 465600	| 22E200		| 0				| 26C45D(0066C45D)	| 1000		| 200		| 696000	| 
ë‡ 04.03.2009 - 18:15 	| 465E00	| 22E400		| 0				| 26C53D(0066C53D)	| 1000		| 200		| 696000	| 
è≠ 09.03.2009 - 19:29 	| 466400	| 22FC00		| 0				| 26C65D(0066C65D)	| 1000		| 200		| 698000	| 
ë‡ 11.03.2009 - 19:24 	| 466600	| 22FC00		| 0				| 26C71D(0066C71D)	| 1000		| 200		| 698000	| 
ó‚ 12.03.2009 - 18:23 	| 466800	| 22FE00		| 0				| 26C8AD(0066C8AD)	| 1000		| 200		| 698000	| 
Ç· 15.03.2009 - 16:19 	| 466C00	| 230000		| 0				| 26CBCD(0066CBCD)	| 1000		| 200		| 699000	| 
è≠ 16.03.2009 - 19:52 	| 466E00	| 230000		| 0				| 26CC5D(0066CC5D)	| 1000		| 200		| 699000	| 
ó‚ 19.03.2009 - 18:09 	| 467400	| 230400		| 0				| 26D03D(0066D03D)	| 1000		| 200		| 69A000	| 
è≠ 30.03.2009 - 20:22 	| 468400	| 230600		| 0				| 26D84D(0066D84D)	| 1000		| 200		| 69B000	| 
Ç‚ 31.03.2009 - 19:54 	| 469800	| 230600		| 0				| 26DB3D(0066DB3D)	| 1000		| 200		| 69C000	| 
è‚ 03.04.2009 - 19:48 	| 470E00	| 232000		| 0				| 27237D(0067237D)	| 1000		| 200		| 6A5000	| 
è≠ 06.04.2009 - 20:31 	| 470E00	| 232200		| 0				| 27424D(0067424D)	| 1000		| 200		| 6A5000	| 
ó‚ 09.04.2009 - 20:54 	| 471600	| 232800		| 0				| 27437D(0067437D)	| 1000		| 200		| 6A6000	| 
ë° 11.04.2009 - 19:10 	| 471C00	| 232600		| 0				| 27482D(0067482D)	| 1000		| 200		| 6A6000	| 
è≠ 13.04.2009 - 18:28 	| 471A00	| 232600		| 0				| 2747BD(006747BD)	| 1000		| 200		| 6A6000	| 
ë‡ 15.04.2009 - 20:15 	| 472800	| 232800		| 0				| 274B9D(00674B9D)	| 1000		| 200		| 6A7000	| 
