TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
ë° 22.11.2008 - 17:01 	| 45E200	| 217600		| 0				| 27AE21(0067AE21)	| 1000		| 200		| 679000	| 
è‚ 05.12.2008 - 19:45 	| 461C00	| 218A00		| 0				| 27C171(0067C171)	| 1000		| 200		| 67D000	| 
Ç· 07.12.2008 - 19:27 	| 461E00	| 218A00		| 0				| 27C231(0067C231)	| 1000		| 200		| 67D000	| 
è≠ 08.12.2008 - 19:32 	| 462400	| 218A00		| 0				| 27C161(0067C161)	| 1000		| 200		| 67E000	| 
ë‡ 10.12.2008 - 18:16 	| 462400	| 218800		| 0				| 27C211(0067C211)	| 1000		| 200		| 67E000	| 
è‚ 12.12.2008 - 19:37 	| 462E00	| 218C00		| 0				| 27D141(0067D141)	| 1000		| 200		| 67E000	| 
ë° 13.12.2008 - 16:27 	| 462E00	| 218C00		| 0				| 27CF21(0067CF21)	| 1000		| 200		| 67E000	| 
ë‡ 17.12.2008 - 19:50 	| 46A400	| 219E00		| 0				| 27D301(0067D301)	| 1000		| 200		| 688000	| 
ó‚ 18.12.2008 - 20:08 	| 46A000	| 21A000		| 0				| 27D251(0067D251)	| 1000		| 200		| 687000	| 
Ç· 21.12.2008 - 19:36 	| 46C400	| 21C000		| 0				| 27D7B1(0067D7B1)	| 1000		| 200		| 68C000	| 
Ç· 21.12.2008 - 20:15 	| 46C400	| 21C000		| 0				| 27D7B1(0067D7B1)	| 1000		| 200		| 68C000	| 
è≠ 22.12.2008 - 19:53 	| 46C800	| 21C000		| 0				| 27DBB1(0067DBB1)	| 1000		| 200		| 68C000	| 
Ç‚ 23.12.2008 - 18:52 	| 46CC00	| 21C000		| 0				| 27DC81(0067DC81)	| 1000		| 200		| 68C000	| 
è≠ 05.01.2009 - 15:04 	| 471200	| 21F800		| 0				| 27F701(0067F701)	| 1000		| 200		| 694000	| 
è‚ 09.01.2009 - 13:09 	| 473800	| 220E00		| 0				| 27F791(0067F791)	| 1000		| 200		| 698000	| 
Ç· 18.01.2009 - 19:11 	| 475A00	| 221800		| 0				| 280A81(00680A81)	| 1000		| 200		| 69A000	| 
è≠ 19.01.2009 - 19:11 	| 477800	| 221A00		| 0				| 281471(00681471)	| 1000		| 200		| 69C000	| 
Ç‚ 20.01.2009 - 18:54 	| 477400	| 221A00		| 0				| 281141(00681141)	| 1000		| 200		| 69C000	| 
ó‚ 22.01.2009 - 15:25 	| 477A00	| 222400		| 0				| 281221(00681221)	| 1000		| 200		| 69D000	| 
ó‚ 22.01.2009 - 17:58 	| 477A00	| 222400		| 0				| 281231(00681231)	| 1000		| 200		| 69D000	| 
è‚ 23.01.2009 - 20:17 	| 477A00	| 222400		| 0				| 2812E1(006812E1)	| 1000		| 200		| 69D000	| 
Ç· 25.01.2009 - 20:46 	| 477E00	| 222A00		| 0				| 281321(00681321)	| 1000		| 200		| 69D000	| 
ë‡ 28.01.2009 - 17:43 	| 478600	| 222C00		| 0				| 281601(00681601)	| 1000		| 200		| 69E000	| 
ó‚ 29.01.2009 - 20:30 	| 478600	| 222C00		| 0				| 281611(00681611)	| 1000		| 200		| 69E000	| 
Ç· 01.02.2009 - 20:00 	| 478A00	| 222C00		| 0				| 2813E1(006813E1)	| 1000		| 200		| 69E000	| 
è≠ 02.02.2009 - 12:22 	| 478A00	| 222C00		| 0				| 281401(00681401)	| 1000		| 200		| 69E000	| 
Ç· 08.02.2009 - 19:55 	| 479800	| 222E00		| 0				| 281991(00681991)	| 1000		| 200		| 69F000	| 
è≠ 09.02.2009 - 19:37 	| 479A00	| 222E00		| 0				| 281A71(00681A71)	| 1000		| 200		| 69F000	| 
Ç‚ 10.02.2009 - 19:02 	| 47AE00	| 223200		| 0				| 282E61(00682E61)	| 1000		| 200		| 6A0000	| 
ó‚ 12.02.2009 - 18:54 	| 47DE00	| 225400		| 0				| 283011(00683011)	| 1000		| 200		| 6A6000	| 
ë° 14.02.2009 - 21:13 	| 47E200	| 225400		| 0				| 283251(00683251)	| 1000		| 200		| 6A7000	| 
ë‡ 18.02.2009 - 18:20 	| 47DA00	| 225400		| 0				| 282621(00682621)	| 1000		| 200		| 6A6000	| 
è≠ 23.02.2009 - 20:07 	| 47E200	| 225800		| 0				| 282B61(00682B61)	| 1000		| 200		| 6A7000	| 
Ç‚ 24.02.2009 - 19:43 	| 47FE00	| 225800		| 0				| 2846B1(006846B1)	| 1000		| 200		| 6A8000	| 
ë‡ 25.02.2009 - 18:57 	| 480600	| 225800		| 0				| 284F01(00684F01)	| 1000		| 200		| 6A9000	| 
Ç· 01.03.2009 - 20:53 	| 481800	| 225800		| 0				| 285851(00685851)	| 1000		| 200		| 6AA000	| 
è≠ 02.03.2009 - 20:00 	| 481C00	| 225800		| 0				| 285DF1(00685DF1)	| 1000		| 200		| 6AA000	| 
Ç‚ 03.03.2009 - 11:02 	| 481C00	| 225800		| 0				| 285DF1(00685DF1)	| 1000		| 200		| 6AA000	| 
ë‡ 04.03.2009 - 18:15 	| 482400	| 225800		| 0				| 285E81(00685E81)	| 1000		| 200		| 6AB000	| 
è≠ 09.03.2009 - 19:29 	| 482800	| 227200		| 0				| 285D01(00685D01)	| 1000		| 200		| 6AC000	| 
Ç‚ 10.03.2009 - 20:18 	| 	| 		| 				| 	| 		| 		| 	| 
ë‡ 11.03.2009 - 19:24 	| 482A00	| 227200		| 0				| 285DB1(00685DB1)	| 1000		| 200		| 6AC000	| 
ó‚ 12.03.2009 - 18:23 	| 482C00	| 227400		| 0				| 286141(00686141)	| 1000		| 200		| 6AC000	| 
Ç· 15.03.2009 - 16:19 	| 483000	| 227600		| 0				| 286441(00686441)	| 1000		| 200		| 6AD000	| 
è≠ 16.03.2009 - 19:52 	| 483200	| 227600		| 0				| 286461(00686461)	| 1000		| 200		| 6AE000	| 
ó‚ 19.03.2009 - 18:09 	| 483800	| 227A00		| 0				| 2867B1(006867B1)	| 1000		| 200		| 6AE000	| 
è≠ 30.03.2009 - 20:22 	| 484600	| 227C00		| 0				| 2870C1(006870C1)	| 1000		| 200		| 6AF000	| 
Ç‚ 31.03.2009 - 19:54 	| 485A00	| 227C00		| 0				| 287371(00687371)	| 1000		| 200		| 6B0000	| 
è‚ 03.04.2009 - 19:48 	| 48D200	| 229600		| 0				| 28BC41(0068BC41)	| 1000		| 200		| 6BA000	| 
è≠ 06.04.2009 - 20:31 	| 48D000	| 229600		| 0				| 28DB41(0068DB41)	| 1000		| 200		| 6B9000	| 
ó‚ 09.04.2009 - 20:54 	| 48D800	| 229C00		| 0				| 28DC81(0068DC81)	| 1000		| 200		| 6BA000	| 
ë° 11.04.2009 - 19:10 	| 48DE00	| 229A00		| 0				| 28E031(0068E031)	| 1000		| 200		| 6BA000	| 
è≠ 13.04.2009 - 18:28 	| 48DE00	| 229A00		| 0				| 28DF31(0068DF31)	| 1000		| 200		| 6BA000	| 
ë‡ 15.04.2009 - 20:15 	| 48F200	| 229E00		| 0				| 28EA71(0068EA71)	| 1000		| 200		| 6BC000	| 
ó‚ 16.04.2009 - 17:53 	| 48F600	| 22A000		| 0				| 28EE21(0068EE21)	| 1000		| 200		| 6BC000	| 
ó‚ 23.04.2009 - 19:38 	| 490800	| 22A000		| 0				| 28FD41(0068FD41)	| 1000		| 200		| 6BD000	| 
ë° 25.04.2009 - 16:39 	| 490E00	| 22A000		| 0				| 290071(00690071)	| 1000		| 200		| 6BD000	| 
Ç· 26.04.2009 - 17:06 	| 490E00	| 22A000		| 0				| 290071(00690071)	| 1000		| 200		| 6BD000	| 
è≠ 27.04.2009 - 14:32 	| 490E00	| 22A000		| 0				| 290061(00690061)	| 1000		| 200		| 6BD000	| 
Ç‚ 28.04.2009 - 19:25 	| 490E00	| 22A000		| 0				| 2900A1(006900A1)	| 1000		| 200		| 6BD000	| 
ë° 02.05.2009 - 20:12 	| 491A00	| 22A200		| 0				| 290911(00690911)	| 1000		| 200		| 6BF000	| 
è≠ 04.05.2009 - 19:14 	| 495800	| 22A400		| 0				| 291331(00691331)	| 1000		| 200		| 6C3000	| 
Ç‚ 05.05.2009 - 20:38 	| 495800	| 22A400		| 0				| 2910C1(006910C1)	| 1000		| 200		| 6C3000	| 
ë° 09.05.2009 - 17:09 	| 495C00	| 22A400		| 0				| 291441(00691441)	| 1000		| 200		| 6C3000	| 
Ç· 24.05.2009 - 21:47 	| 49AA00	| 22A600		| 0				| 295831(00695831)	| 1000		| 200		| 6C8000	| 
è≠ 25.05.2009 - 17:29 	| 4A1E00	| 22AA00		| 0				| 29C471(0069C471)	| 1000		| 200		| 6CF000	| 
ë‡ 27.05.2009 - 19:20 	| 4A2200	| 22E000		| 0				| 29C311(0069C311)	| 1000		| 200		| 6D4000	| 
è‚ 29.05.2009 - 17:23 	| 4A2400	| 22E000		| 0				| 29C4F1(0069C4F1)	| 1000		| 200		| 6D4000	| 
Ç· 07.06.2009 - 19:52 	| 4A5E00	| 22E600		| 0				| 29D7E1(0069D7E1)	| 1000		| 200		| 6D7000	| 
Ç‚ 09.06.2009 - 17:51 	| 4A6000	| 22E600		| 0				| 29D4E1(0069D4E1)	| 1000		| 200		| 6D7000	| 
Ç· 14.06.2009 - 20:13 	| 4A6C00	| 22E800		| 0				| 29DEF1(0069DEF1)	| 1000		| 200		| 6D8000	| 
Ç‚ 16.06.2009 - 18:44 	| 4A7000	| 22E800		| 0				| 29E061(0069E061)	| 1000		| 200		| 6D8000	| 
ë° 27.06.2009 - 19:07 	| 4A9000	| 22EC00		| 0				| 29E261(0069E261)	| 1000		| 200		| 6DA000	| 
ë‡ 01.07.2009 - 20:10 	| 4A9200	| 22EC00		| 0				| 29E391(0069E391)	| 1000		| 200		| 6DB000	| 
ó‚ 09.07.2009 - 19:21 	| 4A9600	| 22EC00		| 0				| 29E4D1(0069E4D1)	| 1000		| 200		| 6DB000	| 
ë‡ 15.07.2009 - 14:15 	| 4AC000	| 22F600		| 0				| 495C3D(00895C3D)	| 1000		| 200		| 6DD000	| 
ë° 18.07.2009 - 17:36 	| 4ABA00	| 22F600		| 0				| 4956DD(008956DD)	| 1000		| 200		| 6DD000	| 
Ç· 19.07.2009 - 11:52 	| 4ABA00	| 22F600		| 0				| 49569D(0089569D)	| 1000		| 200		| 6DD000	| 
Ç‚ 28.07.2009 - 17:26 	| 4ADE00	| 22FA00		| 0				| 497AAD(00897AAD)	| 1000		| 200		| 6E1000	| 
Ç· 02.08.2009 - 18:22 	| 4AF400	| 230000		| 0				| 4990ED(008990ED)	| 1000		| 200		| 6E3000	| 
ë‡ 05.08.2009 - 19:44 	| 4B0000	| 230000		| 0				| 499B9D(00899B9D)	| 1000		| 200		| 6E3000	| 
ó‚ 06.08.2009 - 19:34 	| 4B0000	| 230000		| 0				| 499CDD(00899CDD)	| 1000		| 200		| 6E3000	| 
Ç· 09.08.2009 - 14:46 	| 4B0200	| 230000		| 0				| 499D7D(00899D7D)	| 1000		| 200		| 6E4000	| 
è≠ 10.08.2009 - 19:25 	| 4B0400	| 230200		| 0				| 499F9D(00899F9D)	| 1000		| 200		| 6E4000	| 
ë‡ 19.08.2009 - 19:26 	| 4B3200	| 230200		| 0				| 49CEBD(0089CEBD)	| 1000		| 200		| 6E7000	| 
Ç· 23.08.2009 - 20:34 	| 4B3600	| 230400		| 0				| 49D43D(0089D43D)	| 1000		| 200		| 6E7000	| 
è≠ 24.08.2009 - 19:49 	| 4B3400	| 230400		| 0				| 49D38D(0089D38D)	| 1000		| 200		| 6E7000	| 
ë‡ 26.08.2009 - 16:15 	| 4B4200	| 230200		| 0				| 49E1FD(0089E1FD)	| 1000		| 200		| 6E8000	| 
ë‡ 02.09.2009 - 19:01 	| 4B7A00	| 231C00		| 0				| 4A18FD(008A18FD)	| 1000		| 200		| 6EC000	| 
ó‚ 03.09.2009 - 19:55 	| 4B7A00	| 231C00		| 0				| 4A18FD(008A18FD)	| 1000		| 200		| 6EC000	| 
Ç· 06.09.2009 - 19:05 	| 4B7C00	| 231C00		| 0				| 4A1AAD(008A1AAD)	| 1000		| 200		| 6EC000	| 
Ç· 06.09.2009 - 19:45 	| 4B7C00	| 231C00		| 0				| 4A1AAD(008A1AAD)	| 1000		| 200		| 6EC000	| 
ë‡ 09.09.2009 - 11:44 	| 4B8400	| 231C00		| 0				| 4A235D(008A235D)	| 1000		| 200		| 6ED000	| 
ó‚ 10.09.2009 - 20:11 	| 4B8800	| 231C00		| 0				| 4A266D(008A266D)	| 1000		| 200		| 6ED000	| 
Ç· 13.09.2009 - 19:00 	| 4B9800	| 231E00		| 0				| 4A368D(008A368D)	| 1000		| 200		| 6EE000	| 
Ç‚ 15.09.2009 - 19:29 	| 4B9E00	| 232000		| 0				| 4A3D7D(008A3D7D)	| 1000		| 200		| 6EE000	| 
Ç· 20.09.2009 - 18:54 	| 4BB600	| 232600		| 0				| 4A548D(008A548D)	| 1000		| 200		| 6F1000	| 
Ç‚ 22.09.2009 - 20:08 	| 4BBA00	| 232800		| 0				| 4A583D(008A583D)	| 1000		| 200		| 6F1000	| 
ë‡ 23.09.2009 - 16:47 	| 4BBA00	| 232800		| 0				| 4A580D(008A580D)	| 1000		| 200		| 6F1000	| 
ë‡ 23.09.2009 - 19:22 	| 4BBA00	| 232800		| 0				| 4A582D(008A582D)	| 1000		| 200		| 6F1000	| 
Ç· 27.09.2009 - 17:28 	| 4BC200	| 232A00		| 0				| 4A61DD(008A61DD)	| 1000		| 200		| 6F2000	| 
ó‚ 01.10.2009 - 18:32 	| 4BDC00	| 232C00		| 0				| 4A7B1D(008A7B1D)	| 1000		| 200		| 6F3000	| 
Ç· 04.10.2009 - 15:50 	| 4BE200	| 232C00		| 0				| 4A80CD(008A80CD)	| 1000		| 200		| 6F4000	| 
Ç‚ 06.10.2009 - 19:28 	| 4BE600	| 232C00		| 0				| 4A852D(008A852D)	| 1000		| 200		| 6F4000	| 
ë‡ 07.10.2009 - 18:15 	| 4BE600	| 232C00		| 0				| 4A85AD(008A85AD)	| 1000		| 200		| 6F4000	| 
ó‚ 15.10.2009 - 19:47 	| 4BFE00	| 233000		| 0				| 4A9DED(008A9DED)	| 1000		| 200		| 6F5000	| 
Ç· 18.10.2009 - 20:14 	| 4C0800	| 233000		| 0				| 4AA74D(008AA74D)	| 1000		| 200		| 6F6000	| 
ë‡ 21.10.2009 - 18:50 	| 4C2600	| 233600		| 0				| 4AC4AD(008AC4AD)	| 1000		| 200		| 6F8000	| 
ë‡ 21.10.2009 - 19:37 	| 4C2600	| 233600		| 0				| 4AC4AD(008AC4AD)	| 1000		| 200		| 6F8000	| 
ó‚ 22.10.2009 - 19:40 	| 4C2E00	| 233600		| 0				| 4ACDDD(008ACDDD)	| 1000		| 200		| 6F8000	| 
Ç· 25.10.2009 - 19:06 	| 4C4800	| 233800		| 0				| 4AE69D(008AE69D)	| 1000		| 200		| 6FB000	| 
è≠ 26.10.2009 - 20:05 	| 4C4A00	| 233800		| 0				| 4AE80D(008AE80D)	| 1000		| 200		| 6FB000	| 
Ç‚ 27.10.2009 - 15:33 	| 4C4A00	| 235000		| 0				| 4AE8FD(008AE8FD)	| 1000		| 200		| 6FC000	| 
è‚ 30.10.2009 - 11:36 	| 4C5800	| 235200		| 0				| 4AF61D(008AF61D)	| 1000		| 200		| 6FD000	| 
è‚ 30.10.2009 - 19:25 	| 4C5A00	| 235200		| 0				| 4AF8ED(008AF8ED)	| 1000		| 200		| 6FD000	| 
è≠ 02.11.2009 - 17:29 	| 4C6600	| 234C00		| 0				| 4B047D(008B047D)	| 1000		| 200		| 6FE000	| 
è≠ 02.11.2009 - 19:51 	| 4C6600	| 234C00		| 0				| 4B047D(008B047D)	| 1000		| 200		| 6FE000	| 
